License Type	Source URL	Degree Required Status	Supporting Evidence	Reasoning	Confidence Score	Elo Rating
Certified Financial Examiner	https://www.sofe.org/education/certified-financial-examiner-financial-rating-analyst.html	No Degree Found	“You must have successfully completed 3 semester hours of a Management course from an accredited college or university or its demonstrable equivalent.”	The only educational prerequisite specified is completion of a single 3-credit management course; the text never states that an Associate’s, Bachelor’s, or higher degree is required for the CFE-A designation.	0.9	1,025.00
Certified Financial Examiner	https://mycareer.nj.gov/occupation/13-2061	Explicit Bachelor's	“Financial examiners typically need a bachelor’s degree that includes some coursework in accounting.”	The source text directly states that financial examiners need a bachelor’s degree, so the minimum educational requirement for initial licensure is explicitly a bachelor's.	0.86	971
Certified Financial Examiner	https://www.sofe.org/education/accredited-financial-examiner.html	Could Not Determine	The SourceText lists education requirements specifically "To be eligible for the AFE designation" but provides no separate or explicit education requirement for the Certified Financial Examiner (CFE) credential; CFE is only referenced in maintenance obligations ("If you are an AFE/CFE designee...").	Because the text outlines degree requirements solely for the AFE designation and does not state what is required to obtain the CFE designation itself, the minimum degree requirement for Certified Financial Examiner cannot be determined from the provided source.	0.4	925
Certified Public Accountant	https://www.njconsumeraffairs.gov/regulations/Chapter-29-New-Jersey-State-Board-of-Accountancy.pdf	Explicit Bachelor's	"An applicant shall possess a baccalaureate degree, or its equivalent…" and "An applicant shall have completed at least 150 hours of education, INCLUDING A BACCALAUREATE OR HIGHER DEGREE…" (13:29-1A.3(b)(1)-(2)); plus "An applicant qualifying…shall not be issued a license until successful completion of at least 150 semester-hours of education" (13:29-1A.3(c)).	The regulations clearly state that licensure requires a baccalaureate degree (bachelor’s) and 150 semester hours of education; therefore the minimum explicit degree requirement is a bachelor's degree.	0.9	1,222.00
Certified Municipal Finance Officer	https://law.justia.com/codes/new-jersey/title-40a/section-40a-9-140-2/	No Degree Found	"has graduated from a four-year course at a college of recognized standing..." AND "An applicant who does not possess the college degree required under subsection a. above may qualify to take the examination by furnishing proof of four years of full-time experience..."	Although a four-year college degree is one path, subsection (b) explicitly allows applicants without that degree to qualify through four years of specified experience, fully substituting for the education requirement; therefore, a college degree is not strictly required for initial licensure.	0.85	1,178.00
Professional Engineer	https://www.njconsumeraffairs.gov/Statutes/professional-engineers-land-surveyors-law.pdf	Explicit Bachelor's	"Graduation from a board approved curriculum in engineering of four years or more;" and "Graduation from a board approved curriculum in engineering technology of four years or more;" (N.J.S.A. 45:8-35 (1)(a) & (1)(b))	The statute requires applicants to have completed a board-approved engineering or engineering technology curriculum that is explicitly described as four years or more in length, which is the standard duration of a bachelor’s program, so an explicit bachelor-level degree is required for initial licensure.	0.9	1,222.00
Respiratory Care Practitioners License	https://www.njconsumeraffairs.gov/resp/Pages/default.aspx	No Degree Found	The text states that applicants who pass the Certified Respiratory Therapy (CRT) or Registered Respiratory Therapist (RRT) examination may apply for a plenary license but makes no reference to an associate, bachelor's, or graduate degree requirement.	The provided SourceText lists exam‐based eligibility and administrative details but nowhere specifies any college degree prerequisite for initial licensure, so no degree requirement can be inferred.	0.88	1,221.00
Certified Municipal Finance Officer	https://www.gfoanj.org/?page=Certification	No Degree Found	"Must have graduated from a four-year course of study at a recognized college or university ... OR Must have four years of full-time experience as a municipal director of finance, assistant director of finance, fiscal officer, municipal comptroller, assistant comptroller, municipal treasurer, assistant municipal treasurer or deputy treasurer"; "Be a high school graduate or have received an equivalency diploma"	A bachelor’s degree is one option, but applicants can instead qualify with four years of specified municipal finance experience plus only a high-school education; hence no college degree is strictly required for licensure.	0.65	1,084.00
Certified Municipal Finance Officer	https://www.gfoanj.org/?page=Certification	No Degree Found	“Must have graduated from a four-year course of study at a recognized college or university … OR Must have four years of full-time experience as a municipal director of finance…”	Although the text lists a four-year college degree as one option, it explicitly offers an alternative path—four years of relevant full-time experience—that fully substitutes for the degree. Therefore, a college degree is not strictly required for initial licensure.	0.85	1,054.00
Certified Municipal Finance Officer	https://cgs.rutgers.edu/programs/financial-management	No Degree Found	The only educational prerequisite mentioned is "A minimum of six credits in Introduction to Financial Accounting and/or Managerial Accounting (Accounting 101 and 102) at the college level…"; the text never states that an associate’s, bachelor’s, or graduate degree is required for the Certified Municipal Finance Officer designation.	The source outlines coursework hours and specific college‐level credits but makes no reference to any requirement for earning a degree. Therefore, based solely on the provided information, no college degree is required for initial licensure.	0.87	1,031.00
